time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-03T13:42:53.068Z,53.1639,-166.9092,42.93,4.6,mb,,170,0.631,1.03,us,us7000eigv,2021-07-03T14:35:13.543Z,"82 km SSW of Unalaska, Alaska",earthquake,3.2,9.1,0.042,172,reviewed,us,us
2021-07-03T13:09:46.174Z,-4.2715,102.3411,56.38,5.2,mb,,105,0.619,0.84,us,us7000eigl,2021-07-03T13:35:27.389Z,"52 km S of Bengkulu, Indonesia",earthquake,8.1,7.8,0.105,30,reviewed,us,us
2021-07-03T12:48:57.580Z,62.9235,-148.6542,1.2,2.9,ml,,,,0.69,ak,ak0218gibgt5,2021-07-03T13:03:54.040Z,"54 km SSE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-07-03T12:04:50.240Z,17.992,-67.0171,12,2.86,md,23,138,0.0353,0.28,pr,pr2021184006,2021-07-03T13:44:42.289Z,"Puerto Rico region",earthquake,0.66,0.38,0.32,19,reviewed,pr,pr
2021-07-03T12:00:32.659Z,62.1081,-149.7289,35.2,2.9,ml,,,,0.58,ak,ak0218gi14m5,2021-07-03T12:11:05.099Z,"8 km SE of Susitna North, Alaska",earthquake,,4.5,,,automatic,ak,ak
2021-07-03T11:58:07.329Z,-43.4232,92.0614,10,5.7,mww,,41,16.175,0.77,us,us7000eigf,2021-07-03T14:01:10.473Z,"southeast Indian Ridge",earthquake,10.1,1.9,0.093,11,reviewed,us,us
2021-07-03T10:57:05.510Z,17.9756,-67.2315,11,2.87,md,20,241,0.1257,0.18,pr,pr2021184005,2021-07-03T11:43:09.656Z,"4 km W of Pole Ojea, Puerto Rico",earthquake,0.88,0.69,0.24,16,reviewed,pr,pr
2021-07-03T10:41:39.610Z,35.9498329,-120.5,10.25,3.25,ml,54,60,0.007402,0.08,nc,nc73582536,2021-07-03T14:30:26.432Z,"8km NW of Parkfield, CA",earthquake,0.17,0.21,0.213,30,automatic,nc,nc
2021-07-03T09:57:46.383Z,24.1412,125.0754,10,4.6,mb,,127,1.911,0.71,us,us7000eify,2021-07-03T10:21:14.040Z,"76 km SSW of Hirara, Japan",earthquake,12.2,1.9,0.114,24,reviewed,us,us
2021-07-03T09:47:11.800Z,34.251667,-117.0975037,4.85,3.04,ml,129,19,0.1154,0.17,ci,ci39727919,2021-07-03T14:25:21.581Z,"5km NNE of Running Springs, CA",earthquake,0.18,0.93,0.252,17,automatic,ci,ci
2021-07-03T08:47:36.730Z,17.9466,-67.0161,8,2.85,md,14,220,0.0362,0.13,pr,pr2021184003,2021-07-03T10:03:14.864Z,"4 km SE of La Parguera, Puerto Rico",earthquake,0.52,0.78,0.11,8,reviewed,pr,pr
2021-07-03T08:32:43.473Z,17.5807,-94.6479,139.07,4.1,mb,,152,2.728,1.17,us,us7000eifn,2021-07-03T08:49:30.040Z,"12 km NE of Vicente Guerrero, Mexico",earthquake,7.2,28,0.107,24,reviewed,us,us
2021-07-03T08:22:25.550Z,34.1349983,-117.4803314,4.24,3.52,mlr,112,21,0.05079,0.25,ci,ci39727887,2021-07-03T14:32:15.911Z,"5km NNW of Fontana, CA",earthquake,0.25,0.82,0.28,16,reviewed,ci,ci
2021-07-03T08:19:38.190Z,44.2736,-114.7917,10,2.7,ml,,63,0.761,0.68,us,us7000eifk,2021-07-03T14:13:15.930Z,"13 km ENE of Stanley, Idaho",earthquake,2.1,2,0.042,74,reviewed,us,us
2021-07-03T07:58:45.984Z,-20.178,-69.1829,91.68,4.3,mwr,,65,0.046,1.2,us,us7000eifi,2021-07-03T13:41:30.606Z,"101 km E of Iquique, Chile",earthquake,5.1,5.4,,,reviewed,us,guc
2021-07-03T07:54:24.048Z,62.2496,-145.7886,1,2.8,ml,,,,1.04,ak,ak0218gfdin6,2021-07-03T08:05:17.709Z,"20 km NW of Glennallen, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-07-03T06:36:18.100Z,35.9510002,-120.5009995,10.35,3.16,ml,60,61,0.006825,0.07,nc,nc73582466,2021-07-03T08:51:33.967Z,"9km NW of Parkfield, CA",earthquake,0.17,0.19,0.222,29,automatic,nc,nc
2021-07-03T06:19:20.980Z,18.4038,-68.0688,105,3.68,md,21,154,0.3314,0.32,pr,pr2021184002,2021-07-03T07:30:31.476Z,"40 km ESE of Punta Cana, Dominican Republic",earthquake,1.87,1.14,0.17,16,reviewed,pr,pr
2021-07-03T05:37:46.974Z,16.7566,-99.5916,10,4,mb,,224,1.266,0.86,us,us7000eiev,2021-07-03T13:07:23.578Z,"4 km ESE of Cerro de Piedra, Mexico",earthquake,5,2,0.13,16,reviewed,us,us
2021-07-03T04:58:09.570Z,35.5183334,-118.3746643,4.43,3.47,mw,83,30,0.1653,0.18,ci,ci39727759,2021-07-03T12:18:17.031Z,"13km SE of Bodfish, CA",earthquake,0.17,1,,4,automatic,ci,ci
2021-07-03T04:57:28.920Z,18.7355,-68.3673,123,3.85,md,12,278,0.222,0.05,pr,pr2021184001,2021-07-03T06:20:49.390Z,"17 km NNE of Punta Cana, Dominican Republic",earthquake,7.91,1.64,0.09,4,reviewed,pr,pr
2021-07-03T01:56:46.350Z,17.9613,-67.0955,9,2.96,md,17,241,0.0473,0.15,pr,pr2021184004,2021-07-03T10:03:06.112Z,"5 km WSW of La Parguera, Puerto Rico",earthquake,0.63,0.47,0.18,14,reviewed,pr,pr
2021-07-03T01:14:26.243Z,-20.498,-178.4297,585.73,4.2,mb,,127,4.307,0.71,us,us7000eie5,2021-07-03T01:31:26.040Z,"Fiji region",earthquake,14.8,10.5,0.076,50,reviewed,us,us
2021-07-03T00:12:52.980Z,17.943,-66.8438,11,2.78,md,20,190,0.2022,0.12,pr,pr2021184000,2021-07-03T00:36:17.685Z,"6 km SE of Maria Antonia, Puerto Rico",earthquake,0.37,0.42,0.31,9,reviewed,pr,pr
2021-07-03T00:09:21.210Z,51.9501,-174.9858,76.38,3.7,mb,,194,0.679,0.6,us,us7000eidw,2021-07-03T05:08:27.091Z,"60 km WSW of Atka, Alaska",earthquake,12,18.4,0.084,36,reviewed,us,us
2021-07-02T23:08:17.054Z,50.3034,-174.0678,31.9,3,ml,,237,1.973,0.15,us,us7000eidr,2021-07-03T00:11:35.040Z,"210 km S of Atka, Alaska",earthquake,9.2,15.4,0.105,12,reviewed,us,us
2021-07-02T22:35:44.810Z,19.2491,-65.1038,56,3.73,md,19,286,0.9584,0.41,pr,pr2021183011,2021-07-03T04:24:06.856Z,"102 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.66,10.02,0.11,16,reviewed,pr,pr
2021-07-02T22:30:49.499Z,57.1771,-157.5346,10.8,2.7,ml,,,,0.55,ak,ak0218f0mkz9,2021-07-02T23:03:06.040Z,"38 km SSW of Ugashik, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2021-07-02T22:29:38.577Z,57.9038,-155.878,7.6,2.6,ml,,,,0.57,ak,ak0218f0mcey,2021-07-02T22:54:20.040Z,"92 km WNW of Karluk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-07-02T22:25:00.712Z,-21.3762,-68.7333,128.47,4,mb,,48,0.777,0.41,us,us7000eidc,2021-07-02T22:42:22.040Z,"121 km N of Calama, Chile",earthquake,6.6,5.9,0.164,10,reviewed,us,us
2021-07-02T20:41:05.470Z,17.9468,-67.0931,10,2.58,md,10,246,0.0539,0.07,pr,pr2021183010,2021-07-02T20:55:54.372Z,"5 km WSW of La Parguera, Puerto Rico",earthquake,0.62,0.25,0.09,6,reviewed,pr,pr
2021-07-02T20:14:38.099Z,-21.8295,-179.3622,605.63,6.1,mww,,22,4.736,1,us,us7000eicj,2021-07-02T22:17:46.736Z,"Fiji region",earthquake,10,5.7,0.066,22,reviewed,us,us
2021-07-02T19:46:07.671Z,35.1376,25.2291,11.1,4.2,mb,,122,0.315,1.06,us,us7000eic7,2021-07-03T03:53:58.320Z,"3 km WSW of Arkalochóri, Greece",earthquake,5.4,4.7,0.077,53,reviewed,us,us
2021-07-02T18:05:43.002Z,-20.9181,-68.9103,104.52,4,mb,,106,0.553,0.4,us,us7000eibh,2021-07-02T18:41:37.040Z,"151 km ESE of Iquique, Chile",earthquake,6,8.5,0.195,7,reviewed,us,us
2021-07-02T17:54:17.590Z,17.998,-67.1156,15,2.63,md,12,208,0.0103,0.09,pr,pr2021183009,2021-07-03T01:16:56.818Z,"6 km SW of Palmarejo, Puerto Rico",earthquake,0.5,0.4,0.18,8,reviewed,pr,pr
2021-07-02T17:50:18.549Z,51.8405,178.6147,109.29,3,ml,,153,0.096,0.38,us,us7000eid8,2021-07-03T13:33:00.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.1,6.5,0.085,18,reviewed,us,us
2021-07-02T17:48:33.458Z,-24.0971,-67.0572,183.85,4.4,mb,,81,1.535,1.24,us,us7000eibc,2021-07-02T18:22:47.040Z,"76 km W of San Antonio de los Cobres, Argentina",earthquake,11,15.1,0.203,7,reviewed,us,us
2021-07-02T17:38:21.389Z,46.4237,154.4233,10,5.3,mww,,91,7.018,1.33,us,us7000eiba,2021-07-02T18:05:30.040Z,"east of the Kuril Islands",earthquake,9.1,1.8,0.089,12,reviewed,us,us
2021-07-02T16:10:13.250Z,38.838501,-122.8290024,-0.29,2.74,md,43,84,0.005065,0.13,nc,nc73582201,2021-07-02T21:16:03.604Z,"9km NW of The Geysers, CA",earthquake,0.18,0.35,0.12,25,automatic,nc,nc
2021-07-02T15:11:49.739Z,62.4823,-148.2576,35.1,3.1,ml,,,,0.73,ak,ak0218ewch09,2021-07-02T19:35:10.040Z,"77 km N of Chickaloon, Alaska",earthquake,,1.3,,,automatic,ak,ak
2021-07-02T14:27:01.544Z,-19.248,169.3232,141.18,4.9,mb,,143,3.779,0.58,us,us7000ei8t,2021-07-02T14:42:04.040Z,"32 km N of Isangel, Vanuatu",earthquake,7.1,7.8,0.092,37,reviewed,us,us
2021-07-02T14:07:27.780Z,18.9326,-65.3533,74,3.58,md,14,277,0.6291,0.42,pr,pr2021183008,2021-07-02T19:26:50.040Z,"69 km N of Culebra, Puerto Rico",earthquake,3.23,5.05,0.06,11,reviewed,pr,pr
2021-07-02T12:09:04.540Z,18.521,-66.4888,111,3.35,md,15,213,0.0599,0.16,pr,pr2021183007,2021-07-02T12:38:06.815Z,"6 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.61,0.77,0.11,11,reviewed,pr,pr
2021-07-02T09:14:31.827Z,-37.7065,176.4541,227.01,5,mb,,61,0.755,0.76,us,us7000ei72,2021-07-03T09:18:07.066Z,"6 km N of Maketu, New Zealand",earthquake,7,5.6,0.081,49,reviewed,us,us
2021-07-02T08:49:38.820Z,18.024,-66.8218,15,3.28,md,23,149,0.2164,0.16,pr,pr2021183006,2021-07-03T01:16:10.260Z,"3 km ESE of Yauco, Puerto Rico",earthquake,0.32,0.43,0.14,19,reviewed,pr,pr
2021-07-02T08:12:59.520Z,17.9531,-67.0953,11,3.21,md,20,242,0.0536,0.08,pr,pr2021183004,2021-07-02T09:11:54.741Z,"5 km WSW of La Parguera, Puerto Rico",earthquake,0.55,0.18,0.17,10,reviewed,pr,pr
2021-07-02T07:27:15.248Z,21.3918,144.3571,127.91,4.6,mb,,125,6.014,0.44,us,us7000ei5y,2021-07-02T12:01:18.040Z,"Mariana Islands region",earthquake,12.2,8.2,0.105,27,reviewed,us,us
2021-07-02T07:01:05.278Z,-30.1469,-72.0061,29.36,4.1,mb,,206,0.615,0.65,us,us7000ei5t,2021-07-02T12:04:48.040Z,"67 km WSW of Coquimbo, Chile",earthquake,3.1,11.6,0.233,5,reviewed,us,us
2021-07-02T06:59:42.204Z,-4.4427,151.6927,214.43,4.9,mb,,44,0.532,0.78,us,us7000ei5u,2021-07-02T07:19:30.040Z,"58 km WSW of Rabaul, Papua New Guinea",earthquake,8.6,5.5,0.036,235,reviewed,us,us
2021-07-02T06:59:32.560Z,17.9211,-65.5011,18,3.04,md,18,245,0.412,0.1,pr,pr2021183003,2021-07-02T08:25:11.379Z,"19 km S of Esperanza, Puerto Rico",earthquake,0.64,0.91,0.09,6,reviewed,pr,pr
2021-07-02T06:41:33.146Z,-18.1502,-71.9952,17.45,4.3,mb,,162,1.586,0.88,us,us7000ei5p,2021-07-02T06:56:17.040Z,"88 km SW of Pacocha, Peru",earthquake,5.9,4.8,0.168,10,reviewed,us,us
2021-07-02T05:01:07.117Z,58.3243,-133.524,10,2.8,ml,,159,0.527,0.65,us,us7000ei5a,2021-07-02T11:47:08.040Z,"52 km E of Juneau, Alaska",earthquake,4.8,2,0.069,28,reviewed,us,us
2021-07-02T05:00:25.390Z,17.9428,-66.971,13,2.68,md,18,203,0.0779,0.07,pr,pr2021183001,2021-07-02T05:30:07.838Z,"7 km WSW of Guánica, Puerto Rico",earthquake,0.44,0.2,0.1,6,reviewed,pr,pr
2021-07-02T04:42:25.578Z,58.0116,-155.9296,0,3.4,ml,,,,0.73,ak,ak0218epzasf,2021-07-02T04:52:31.040Z,"86 km SSE of King Salmon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-07-02T04:09:32.410Z,46.7868,153.7749,10,4.9,mb,,173,6.814,1,us,us7000ei4x,2021-07-02T04:34:05.040Z,"Kuril Islands",earthquake,10.8,1.9,0.038,223,reviewed,us,us
2021-07-02T02:40:32.930Z,17.9531,-67.078,10,3.27,md,14,242,0.0375,0.11,pr,pr2021183000,2021-07-02T03:41:32.040Z,"4 km SW of La Parguera, Puerto Rico",earthquake,0.79,0.32,0.11,10,reviewed,pr,pr
2021-07-02T01:15:43.506Z,43.1906,81.6341,10,4.7,mb,,82,1.576,1.35,us,us7000ei42,2021-07-02T01:39:56.040Z,"81 km SSE of Qapqal, China",earthquake,7.7,1.9,0.076,56,reviewed,us,us
2021-07-02T00:59:36.715Z,-24.275,-67.3822,203.37,4.4,mb,,96,1.506,0.83,us,us7000ei41,2021-07-02T01:16:40.040Z,"108 km W of San Antonio de los Cobres, Argentina",earthquake,7.7,9.8,0.19,8,reviewed,us,us
2021-07-01T23:08:25.838Z,42.1314,83.6246,10,4.3,mb,,72,3.275,0.67,us,us7000ei3p,2021-07-02T02:42:13.040Z,"73 km NE of Kuqa, China",earthquake,8,1.9,0.093,33,reviewed,us,us
2021-07-01T22:25:16.450Z,36.105,-117.864,2.7,2.5,ml,30,55,0.01457,0.13,ci,ci39726439,2021-07-03T04:17:02.040Z,"10km NE of Coso Junction, CA",earthquake,0.16,0.38,0.121,83,reviewed,ci,ci
2021-07-01T21:43:00.190Z,17.956,-67.071,10,3.31,md,23,233,0.03,0.11,pr,pr2021182011,2021-07-02T03:12:58.545Z,"3 km SW of La Parguera, Puerto Rico",earthquake,0.5,0.26,0.12,12,reviewed,pr,pr
2021-07-01T20:36:51.470Z,18.6243,-66.8145,12,2.8,md,12,227,0.2842,0.29,pr,pr2021182010,2021-07-01T20:47:45.566Z,"Puerto Rico region",earthquake,0.98,0.82,0.13,10,reviewed,pr,pr
2021-07-01T19:58:11.319Z,62.2309,-145.757,0.7,2.9,ml,,,,1.03,ak,ak0218dbgutf,2021-07-02T19:02:54.040Z,"17 km NW of Glennallen, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-07-01T19:19:17.442Z,-10.1028,123.6968,55.02,4.4,mb,,83,0.659,0.84,us,us7000ei2n,2021-07-02T17:45:03.040Z,"12 km NE of Kupang, Indonesia",earthquake,6.6,7.2,0.1,33,reviewed,us,us
2021-07-01T18:59:56.348Z,-5.3731,104.7266,46.17,4.5,mb,,120,0.552,0.56,us,us7000ei2i,2021-07-02T16:44:14.040Z,"59 km W of Bandar Lampung, Indonesia",earthquake,3.5,8.2,0.113,26,reviewed,us,us
2021-07-01T18:35:54.710Z,17.9455,-67.1045,10,2.71,md,16,244,0.0611,0.08,pr,pr2021182009,2021-07-01T19:08:04.438Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.54,0.22,0.33,7,reviewed,pr,pr
2021-07-01T17:49:27.500Z,-32.3033,-71.707,20.25,4.2,mb,,178,0.672,0.65,us,us7000ei1y,2021-07-02T14:26:37.040Z,"47 km WNW of La Ligua, Chile",earthquake,2,9.1,0.526,2,reviewed,us,us
2021-07-01T17:44:20.344Z,58.374,-133.4789,1,2.5,ml,,168,0.557,1.09,us,us7000ei1x,2021-07-02T14:08:38.040Z,"55 km E of Juneau, Alaska",earthquake,2,1.9,0.074,24,reviewed,us,us
2021-07-01T17:30:58.780Z,17.9516,-67.109,10,2.52,md,9,246,0.0548,0.09,pr,pr2021182008,2021-07-01T17:56:26.673Z,"7 km WSW of La Parguera, Puerto Rico",earthquake,0.63,0.28,0.12,6,reviewed,pr,pr
2021-07-01T17:11:16.970Z,17.9519,-67.1113,11,3.48,md,22,236,0.0545,0.24,pr,pr2021182006,2021-07-02T17:13:06.362Z,"7 km WSW of La Parguera, Puerto Rico",earthquake,1.03,0.5,0.15,11,reviewed,pr,pr
2021-07-01T17:06:33.440Z,17.9386,-67.1043,11,2.91,md,16,247,0.0675,0.17,pr,pr2021182007,2021-07-02T13:52:41.040Z,"7 km WSW of La Parguera, Puerto Rico",earthquake,0.74,0.3,0.25,10,reviewed,pr,pr
2021-07-01T16:44:44.570Z,17.9768,-67.1093,10,3.14,md,17,225,0.0296,0.2,pr,pr2021182005,2021-07-01T21:38:35.040Z,"6 km W of La Parguera, Puerto Rico",earthquake,0.76,0.47,0.13,6,reviewed,pr,pr
2021-07-01T15:54:17.547Z,58.2716,-133.6365,7.4,2.7,ml,,,,0.56,ak,ak0218d929zs,2021-07-01T21:19:54.040Z,"Southeastern Alaska",ice quake,,0.4,,,automatic,ak,ak
2021-07-01T15:41:26.519Z,-22.1702,170.1308,10,4.9,mb,,90,2.523,1.15,us,us7000ei0r,2021-07-01T16:03:38.040Z,"242 km ESE of Tadine, New Caledonia",earthquake,7.3,1.9,0.082,49,reviewed,us,us
2021-07-01T15:26:31.169Z,-35.2461,-71.4449,79.95,4.1,mb,,69,0.462,0.7,us,us7000ei0p,2021-07-02T00:42:53.313Z,"20 km SW of Molina, Chile",earthquake,5.5,3.3,0.151,14,reviewed,us,us
2021-07-01T15:07:35.823Z,-13.5041,167.2972,191.44,4.7,mb,,46,1.933,0.65,us,us7000ei0g,2021-07-01T15:40:48.040Z,"49 km NNW of Sola, Vanuatu",earthquake,8.4,6.3,0.038,215,reviewed,us,us
2021-07-01T15:06:34.416Z,-0.8254,80.6534,10,5.2,mb,,36,6.867,0.98,us,us7000ei0h,2021-07-01T15:26:15.040Z,"South Indian Ocean",earthquake,8.9,1.8,0.049,135,reviewed,us,us
2021-07-01T14:39:27.410Z,63.8612,-148.8343,102,3.1,ml,,,,0.68,ak,ak0218d8dnc6,2021-07-01T16:10:08.040Z,"6 km E of Healy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-07-01T14:35:42.892Z,58.282,-133.6588,6,2.7,ml,,,,0.52,ak,ak0218d8ctpt,2021-07-01T18:03:33.149Z,"44 km E of Juneau, Alaska",ice quake,,0.5,,,automatic,ak,ak
2021-07-01T14:22:28.800Z,18.9318,-65.3196,70,3.74,md,19,280,0.6254,0.38,pr,pr2021182004,2021-07-01T15:15:56.040Z,"69 km N of Culebra, Puerto Rico",earthquake,2.99,4.26,0.07,12,reviewed,pr,pr
2021-07-01T14:16:58.724Z,30.9059,56.5783,17.48,4.1,mb,,85,5.905,1.04,us,us7000ei09,2021-07-01T15:24:24.040Z,"10 km N of Zarand, Iran",earthquake,7.8,6.5,0.165,10,reviewed,us,us
